feature,coefficient,importance
soft texture,0.17059535422508326,0.17059535422508326
perfect fit,0.17059535422508326,0.17059535422508326
pleased build,0.17059535422508326,0.17059535422508326
awful playsuit,-0.16982828264166352,0.16982828264166352
fit badly,-0.16982828264166352,0.16982828264166352
uncomfortable feel,-0.16982828264166352,0.16982828264166352
badly uncomfortable,-0.16982828264166352,0.16982828264166352
playsuit fit,-0.16982828264166352,0.16982828264166352
badly,-0.16982828264166352,0.16982828264166352
cost defective,-0.1684843152055352,0.1684843152055352
cost,-0.1684843152055352,0.1684843152055352
defective seam,-0.1684843152055352,0.1684843152055352
seam chemical,-0.1684843152055352,0.1684843152055352
avoid cost,-0.1684843152055352,0.1684843152055352
color soft,0.16604084378327585,0.16604084378327585
vibrant color,0.16604084378327585,0.16604084378327585
dress vibrant,0.16604084378327585,0.16604084378327585
soft cotton,0.16604084378327585,0.16604084378327585
recommend dress,0.16604084378327585,0.16604084378327585
design,0.1660067031667265,0.1660067031667265
watch,-0.16477828088681787,0.16477828088681787
terrible flimsy,-0.16346548769875544,0.16346548769875544
thin look,-0.16346548769875544,0.16346548769875544
jacket terrible,-0.16346548769875544,0.16346548769875544
flimsy thin,-0.16346548769875544,0.16346548769875544
awesome sunglass,0.16297635806000207,0.16297635806000207
sun,0.16297635806000207,0.16297635806000207
sunglass look,0.16297635806000207,0.16297635806000207
sun perfectly,0.16297635806000207,0.16297635806000207
premium block,0.16297635806000207,0.16297635806000207
block sun,0.16297635806000207,0.16297635806000207
block,0.16297635806000207,0.16297635806000207
first day,-0.16145148463334158,0.16145148463334158
avoid watch,-0.16145148463334158,0.16145148463334158
broke first,-0.16145148463334158,0.16145148463334158
first,-0.16145148463334158,0.16145148463334158
flimsy broke,-0.16145148463334158,0.16145148463334158
strap flimsy,-0.16145148463334158,0.16145148463334158
watch strap,-0.16145148463334158,0.16145148463334158
avoid stitching,-0.1583915466032288,0.1583915466032288
fabric thin,-0.1583915466032288,0.1583915466032288
thin scratchy,-0.1583915466032288,0.1583915466032288
loose fabric,-0.1583915466032288,0.1583915466032288
bad fit,-0.1583655916768428,0.1583655916768428
avoid product,-0.1583655916768428,0.1583655916768428
product faded,-0.1583655916768428,0.1583655916768428
color rough,-0.1583655916768428,0.1583655916768428
material bad,-0.1583655916768428,0.1583655916768428
rough material,-0.1583655916768428,0.1583655916768428
faded one,-0.1582786058382008,0.1582786058382008
dress ever,-0.1582786058382008,0.1582786058382008
ever color,-0.1582786058382008,0.1582786058382008
worst dress,-0.1582786058382008,0.1582786058382008
delivery excellent,0.15355351404658424,0.15355351404658424
fast,0.15355351404658424,0.15355351404658424
delivery,0.15355351404658424,0.15355351404658424
highly satisfied,0.15355351404658424,0.15355351404658424
fast delivery,0.15355351404658424,0.15355351404658424
premium quality,0.15355351404658424,0.15355351404658424
satisfied fast,0.15355351404658424,0.15355351404658424
already,-0.15355243009891273,0.15355243009891273
already coming,-0.15355243009891273,0.15355243009891273
stitching seam,-0.15355243009891273,0.15355243009891273
coming undone,-0.15355243009891273,0.15355243009891273
seam loose,-0.15355243009891273,0.15355243009891273
quality stitching,-0.15355243009891273,0.15355243009891273
undone,-0.15355243009891273,0.15355243009891273
loose already,-0.15355243009891273,0.15355243009891273
coming,-0.15355243009891273,0.15355243009891273
